Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1710887750203,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,17.94194793701172,15.035308837890625,57.00054168701172,1.2792816162109375,100,0.6081314086914063,87.95535278320313,3.9708709716796875,52.140472412109375,8.852951049804688,31.135848999023438,35.462799072265625,988.1229858398438,10908.628540039063,9945.198852539063,37.90093994140625,34156023808,5100273664,16697307136,0
200,1710887750203,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,23.99445343017578,9.90423583984375,33.077117919921875,15.239418029785156,100,16.764114379882813,72.99899291992188,13.898689270019531,96.79435729980469,9.019660949707031,60.20161437988281,12.626007080078125,988.1343383789063,10908.834655761719,9945.381164550781,37.90093994140625,34156023808,5100273664,16698441728,0
200,1710887750404,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,12.435066223144531,3.0459060668945313,10.887962341308594,3.2982025146484375,83.30471801757813,4.909934997558594,18.8372802734375,1.8952789306640625,18.994552612304688,1.4394912719726563,11.08612060546875,23.227798461914063,988.4279174804688,10915.554504394531,9951.756530761719,37.90093994140625,34156023808,5100273664,16715952128,0
200,1710887750605,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.997169494628906,4.3057403564453125,39.06541442871094,2.5513458251953125,9.385459899902344,3.7589263916015625,8.951263427734375,10.174758911132813,7.364501953125,1.0773086547851563,4.63458251953125,59.97820281982422,988.6939697265625,10922.364685058594,9958.214477539063,37.90093994140625,34156023808,5100273664,16712429568,0
200,1710887750806,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.254714965820313,7.448997497558594,26.34551239013672,57.43869400024414,25.591598510742188,4.478363037109375,10.422615051269531,3.7107162475585938,10.482376098632813,3.6450271606445313,12.03399658203125,7.319122314453125,988.98681640625,10929.451721191406,9964.969543457031,37.90093994140625,34156023808,5100273664,16711426048,0
200,1710887751007,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.2465362548828125,4.777801513671875,7.925041198730469,5.646995544433594,76.73059844970703,18.82915496826172,8.342979431152344,3.614776611328125,11.05950927734375,0.9598770141601563,13.547714233398438,6.322547912597656,989.2844848632813,10936.302185058594,9971.474792480469,37.91998291015625,34156023808,5100273664,16711618560,0
200,1710887751208,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.0572586059570313,4.154716491699219,5.73077392578125,4.2025909423828125,92.51553344726563,2.0996780395507813,5.075531005859375,3.876312255859375,6.1676177978515625,1.1669769287109375,14.41729736328125,3.8232192993164063,989.72314453125,10941.941284179688,9976.735595703125,37.9281005859375,34156023808,5100273664,16709439488,0
200,1710887751409,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,13.427238464355469,5.331489562988281,8.6146240234375,4.334831237792969,33.80626678466797,5.512237548828125,12.081634521484375,3.5893020629882813,7.496124267578125,2.7303619384765625,19.984130859375,3.21405029296875,990.0772705078125,10946.295104980469,9980.7275390625,37.939208984375,34156023808,5100273664,16630734848,0
200,1710887751609,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,20.075584411621094,3.5853118896484375,18.086585998535156,19.13646697998047,17.434974670410156,11.291984558105469,11.750137329101563,10.210365295410156,18.54393768310547,2.86309814453125,23.546035766601563,4.992515563964844,990.504638671875,10950.929870605469,9984.873718261719,38.05145263671875,34156023808,5100273664,16632360960,0
199,1710887751810,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,19.19048309326172,15.899017333984375,40.095890045166016,9.458770751953125,15.199310302734375,9.64141845703125,16.892776489257813,7.931159973144531,24.593704223632813,8.446662902832031,14.258346557617188,10.811653137207031,990.9011840820313,10955.138671875,9988.726196289063,38.08636474609375,34156023808,5100273664,16633716736,0
200,1710887752010,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,17.60334014892578,13.31878662109375,28.151473999023438,8.726181030273438,26.586181640625,7.480987548828125,20.360794067382813,7.471138000488281,18.790443420410156,3.6819000244140625,23.050453186035156,6.76409912109375,991.2698974609375,10960.723327636719,9993.876098632813,38.12677001953125,34156023808,5100273664,16634023936,0
200,1710887752210,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,15.906280517578125,8.331336975097656,24.49237060546875,7.483833312988281,14.494476318359375,7.5283203125,18.547935485839844,6.2926177978515625,11.740913391113281,5.765251159667969,13.740158081054688,4.918937683105469,991.5986938476563,10963.428405761719,9996.30224609375,38.1285400390625,34156023808,5100273664,16634179584,0
200,1710887752410,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,18.12818145751953,6.8211669921875,30.75799560546875,6.279121398925781,28.826805114746094,10.533760070800781,21.87548065185547,7.581840515136719,21.308624267578125,5.7204742431640625,17.997528076171875,7.036216735839844,991.9533081054688,10969.164428710938,10001.659790039063,38.136962890625,34156023808,5100273664,16625692672,0
200,1710887752611,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,17.969696044921875,7.954933166503906,10.469528198242188,3.3235626220703125,5.707527160644531,15.318389892578125,17.246673583984375,3.9744033813476563,11.563194274902344,2.4111404418945313,15.1964111328125,1.9067230224609375,992.258544921875,10970.947998046875,10003.128601074219,38.14300537109375,34156023808,5100273664,16636534784,0
200,1710887752811,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.8112945556640625,5.641654968261719,8.059181213378906,2.8283538818359375,7.310340881347656,8.26519775390625,12.90533447265625,7.4423828125,10.707984924316406,2.0472564697265625,5.3130035400390625,1.66058349609375,992.567138671875,10972.977722167969,10004.87109375,38.1458740234375,34156023808,5100273664,16634523648,0
200,1710887753011,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,11.934913635253906,7.739585876464844,11.980918884277344,5.374969482421875,11.334182739257813,8.557777404785156,7.905754089355469,7.640045166015625,9.588027954101563,5.933494567871094,12.507278442382813,2.4779891967773438,992.9010009765625,10975.579162597656,10007.102233886719,38.16741943359375,34156023808,5100273664,16636526592,0
200,1710887753212,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,9.21453857421875,10.74853515625,17.208641052246094,8.503280639648438,16.348861694335938,10.442329406738281,16.51531982421875,9.246528625488281,23.625755310058594,3.4300537109375,17.21247100830078,3.9828033447265625,993.3057250976563,10979.183166503906,10010.222229003906,38.28729248046875,34156023808,5100273664,16636653568,0
4,1710887753412,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,13.892730712890625,5.98150634765625,9.548179626464844,2.4209365844726563,5.963371276855469,7.839134216308594,9.091087341308594,8.996192932128906,6.272285461425781,5.691551208496094,47.60047149658203,1.6365509033203125,993.6043701171875,10981.784790039063,10012.495727539063,38.309814453125,34156023808,5100273664,16621772800,0
